Name,Url,FV,LOT,Location,Sale Date
2016 HYUNDAI SONATA SE,https://www.copart.com/lot/45833712/,5NPE24AF0GH365138,45833712,NC - LUMBERTON,9/26/2022
2013 BMW 328 I,https://www.copart.com/lot/45835672/,WBA3A5C50DF359573,45835672,NY - BUFFALO,9/26/2022
2010 CHEVROLET SILVERADO C1500,https://www.copart.com/lot/45968172/,1GCPCPEX4AZ285853,45968172,MD - BALTIMORE,9/26/2022
2012 CHEVROLET CAMARO 2SS,https://www.copart.com/lot/46009242/,2G1FT3DW1C9107689,46009242,FL - ORLANDO NORTH,9/26/2022
2011 VOLKSWAGEN JETTA TDI,https://www.copart.com/lot/46182552/,3VWPL7AJ0BM694577,46182552,KY - LOUISVILLE,9/26/2022
2015 CADILLAC CTS LUXURY COLLECTION,https://www.copart.com/lot/46406022/,1G6AX5S31F0142521,46406022,PA - YORK HAVEN,9/26/2022
2004 LINCOLN LS ,https://www.copart.com/lot/46427352/,1LNHM87A94Y602807,46427352,SC - SPARTANBURG,9/26/2022
2013 ACURA TL TECH,https://www.copart.com/lot/46473992/,19UUA9F51DA000614,46473992,SC - SPARTANBURG,9/26/2022
2011 HONDA ODYSSEY EXL,https://www.copart.com/lot/46604752/,5FNRL5H69BB014049,46604752,MD - BALTIMORE,9/26/2022
2013 BMW 528 XI,https://www.copart.com/lot/46703412/,WBAXH5C54DD106636,46703412,NY - ROCHESTER,9/26/2022
2008 TOYOTA PRIUS ,https://www.copart.com/lot/46709282/,JTDKB20U583296841,46709282,NC - LUMBERTON,9/26/2022
2007 TOYOTA COROLLA MATRIX XR,https://www.copart.com/lot/46758862/,2T1KR32E27C679634,46758862,SC - SPARTANBURG,9/26/2022
2011 HONDA CR-V EXL,https://www.copart.com/lot/46815382/,5J6RE4H76BL119622,46815382,NJ - TRENTON,9/26/2022
2011 ACURA TL ,https://www.copart.com/lot/46836742/,19UUA9F55BA003125,46836742,PA - YORK HAVEN,9/26/2022
2015 BMW 328 D XDRIVE,https://www.copart.com/lot/47108702/,WBA3K5C57FK300690,47108702,MA - SOUTH BOSTON,9/26/2022
2016 HYUNDAI SONATA SPORT,https://www.copart.com/lot/47238752/,5NPE34AF6GH273268,47238752,NC - CHINA GROVE,9/26/2022
2011 BMW 328 I,https://www.copart.com/lot/47246222/,WBAKE3C5XBE768994,47246222,FL - MIAMI CENTRAL,9/26/2022
2012 HONDA ACCORD SE,https://www.copart.com/lot/47420382/,1HGCP2F62CA085844,47420382,KY - LEXINGTON EAST,9/26/2022
2016 JEEP CHEROKEE LATITUDE,https://www.copart.com/lot/47568182/,1C4PJLCS7GW208023,47568182,IN - FORT WAYNE,9/26/2022
2011 NISSAN VERSA S,https://www.copart.com/lot/47677562/,3N1BC1AP9BL444536,47677562,SC - SPARTANBURG,9/26/2022
2016 FORD TRANSIT CONNECT XLT,https://www.copart.com/lot/47699992/,NM0LE7FX1G1256371,47699992,KY - LOUISVILLE,9/26/2022
2013 FORD FOCUS SE,https://www.copart.com/lot/47721632/,1FADP3F21DL252664,47721632,KY - LEXINGTON EAST,9/26/2022
2012 KIA SORENTO BASE,https://www.copart.com/lot/47771782/,5XYKT4A64CG233369,47771782,GA - FAIRBURN,9/26/2022
2013 TOYOTA YARIS ,https://www.copart.com/lot/47789602/,JTDKTUD36DD565573,47789602,NY - ALBANY,9/26/2022
2013 BMW 328 XI SULEV,https://www.copart.com/lot/47805302/,WBA3B5G59DNS05702,47805302,NJ - TRENTON,9/26/2022
2013 GMC ACADIA DENALI,https://www.copart.com/lot/47810372/,1GKKVTKD0DJ199325,47810372,MD - BALTIMORE,9/26/2022
2008 KIA OPTIMA LX,https://www.copart.com/lot/47854802/,KNAGE123785269024,47854802,SC - SPARTANBURG,9/26/2022
2012 CHEVROLET CRUZE LS,https://www.copart.com/lot/47874182/,1G1PC5SH5C7314320,47874182,NY - ROCHESTER,9/26/2022
2006 CHEVROLET EQUINOX LT,https://www.copart.com/lot/47923582/,2CNDL73F766067269,47923582,KY - LOUISVILLE,9/26/2022
2012 GMC TERRAIN SLE,https://www.copart.com/lot/47942902/,2GKFLREK8C6227307,47942902,KY - LOUISVILLE,9/26/2022
2006 TOYOTA RAV4 ,https://www.copart.com/lot/47998752/,JTMZD33V166000986,47998752,FL - ORLANDO NORTH,9/26/2022
2016 BUICK ENCORE CONVENIENCE,https://www.copart.com/lot/48192402/,KL4CJFSB2GB595891,48192402,IN - FORT WAYNE,9/26/2022
